+,Ahora,sí,encenderás,el,televisor.,Ahora sí encenderás el televisor.,b,l
+,Ahora,sí,atarás,los ,zapatos.,-,-,l
+,Ahora,sí,abrirás,el,paraguas.,-,-,l
+,Ahora,no,copiarás,el,resumen.,-,-,l
+,Ahora,no,abrirás,la,cremallera.,Ahora no abrirás la cremallera.,b,l
+,Ahora,no,copiarás,la,carta.,-,-,l
