Rect,2006
Rect,2070
Tri,2021
Rect,1056
Rect,2057
Rect,2075
Tri,2528
Rect,1048
Rect,2058
Tri,2520
Rect,1018
Rect,2014
Tri,1524
Tri,2518
Rect,2002
Rect,1000
Rect,2069
Rect,1017
Rect,1085
Tri,1026
Rect,2007
Tri,2526
Rect,2025
Rect,1019
Tri,1514
Rect,1031
Rect,2011
Rect,2037
Tri,1517
Tri,2507
Rect,2059
Rect,2004
Tri,1511
Rect,2082
Rect,1053
Rect,1024
Tri,1504
Tri,2514
Rect,2091
Rect,2052
Rect,1047
Tri,1509
Rect,2047
Rect,2053
Tri,1525
Tri,2517
Rect,1021
Tri,1059
Rect,2085
Tri,1500
Rect,2024
Rect,1013
Tri,2527
Rect,2094
Tri,1512
Rect,2056
Rect,1074
Rect,2048
Rect,2079
Tri,1505
Rect,1057
Rect,2003
Tri,1508
Rect,1091
Rect,2054
