regla,Obj_alta_corr,Si
guitarra,Obj_alta_corr,Si
semáforo,Obj_baja_corr,Si
cactus,Obj_baja_incorr,No
piaNo,Obj_alta_incorr,No
cámara,Obj_alta_corr,Si
cepillo,Obj_alta_incorr,No
plancha,Obj_alta_corr,Si
martillo,Obj_alta_corr,Si
llave,Obj_alta_corr,Si
escalera,Obj_alta_corr,Si
llanta,Obj_alta_corr,Si
fantasma,Obj_baja_corr,Si
tumba,Obj_baja_corr,Si
oreja,Obj_baja_corr,Si
techo,Obj_baja_incorr,No
cruz,Obj_baja_incorr,No
volcán,Obj_baja_corr,Si
gafas,Obj_alta_incorr,No
teléfoNo,Obj_alta_corr,Si
bastón,Obj_alta_corr,Si
cerca,Obj_baja_corr,Si
puente,Obj_baja_corr,Si
esqueleto,Obj_baja_corr,Si
nariz,Obj_baja_corr,Si
hacha,Obj_alta_corr,Si
ventilador,Obj_alta_incorr,No
coche,Obj_alta_corr,Si
tambor,Obj_alta_corr,Si
muro,Obj_baja_corr,Si
columna,Obj_baja_corr,Si
tijeras,Obj_alta_corr,Si
humo,Obj_baja_incorr,No
silla,Obj_alta_corr,Si
nube,Obj_baja_incorr,No
árbol,Obj_baja_corr,Si
serrucho,Obj_alta_incorr,No
luna,Obj_baja_corr,Si
rayo,Obj_baja_corr,Si
carretera,Obj_baja_corr,Si
