semáforo,Obj_baja_corr,Si
guitarra,Obj_alta_corr,Si
cactus,Obj_baja_incorr,No
tumba,Obj_baja_corr,Si
silla,Obj_alta_corr,Si
nube,Obj_baja_incorr,No
tambor,Obj_alta_corr,Si
rayo,Obj_baja_corr,Si
llanta,Obj_alta_corr,Si
humo,Obj_baja_incorr,No
martillo,Obj_alta_corr,Si
puente,Obj_baja_corr,Si
ventilador,Obj_alta_incorr,No
bastón,Obj_alta_corr,Si
árbol,Obj_baja_corr,Si
techo,Obj_baja_incorr,No
serrucho,Obj_alta_incorr,No
gafas,Obj_alta_incorr,No
carretera,Obj_baja_corr,Si
muro,Obj_baja_corr,Si
teléfoNo,Obj_alta_corr,Si
volcán,Obj_baja_corr,Si
hacha,Obj_alta_corr,Si
esqueleto,Obj_baja_corr,Si
columna,Obj_baja_corr,Si
regla,Obj_alta_corr,Si
cerca,Obj_baja_corr,Si
cámara,Obj_alta_corr,Si
luna,Obj_baja_corr,Si
coche,Obj_alta_corr,Si
oreja,Obj_baja_corr,Si
fantasma,Obj_baja_corr,Si
escalera,Obj_alta_corr,Si
nariz,Obj_baja_corr,Si
plancha,Obj_alta_corr,Si
cruz,Obj_baja_incorr,No
tijeras,Obj_alta_corr,Si
llave,Obj_alta_corr,Si
cepillo,Obj_alta_incorr,No
piaNo,Obj_alta_incorr,No
