vumito;L1nwAff
estupidez;L1wAff
cagada;L1wAff
asimetría;L1wNeu
parna;L1nwAff
sepelio;L1wAff
pancleto;L1nwNeu
nirasol;L1nwNeu
tierra;L1wNeu
bifacora;L1nwNeu
vegetal;L1wNeu
gangrena;L1wAff
bagada;L1nwAff
apunte;L1wNeu
hacienda;L1wNeu
sarna;L1wAff
tubo;L1wNeu
cartelera;L1wNeu
mierda;L1wAff
separador;L1wNeu
palta;L1wNeu
gancer;L1nwAff
sida;L1wAff
trapecio;L1wNeu
cilindro;L1wNeu
predio;L1wNeu
incesto;L1wAff
cadáver;L1wAff
vubo;L1nwNeu
tida;L1nwAff
paella;L1wNeu
violación;L1wAff
dilindro;L1nwNeu
intesto;L1nwAff
aceitunas;L1wNeu
suicidio;L1wAff
diarrea;L1wAff
pleco;L1nwNeu
bitácora;L1wNeu
ladilla;L1wAff
morme;L1nwAff
frapecio;L1nwNeu
morgue;L1wAff
zombo;L1nwNeu
imbécil;L1wAff
