semáforo,Obj_baja_incorr,No,CORBATA
guitarra,Obj_alta_corr,Si,
cactus,Obj_baja_corr,Si,
tumba,Obj_baja_incorr,No,PUERTA
silla,Obj_alta_incorr,No,RUEDA
nube,Obj_baja_corr,Si,
tambor,Obj_alta_corr,Si,
rayo,Obj_baja_incorr,No,VAGÓN
llanta,Obj_alta_incorr,No,BANDEJA
humo,Obj_baja_corr,Si,
martillo,Obj_alta_incorr,No,GUANTE
puente,Obj_baja_incorr,No,SOMBRERO
ventilador,Obj_alta_corr,Si,
bastón,Obj_alta_incorr,No,LIBRO
árbol,Obj_baja_corr,Si,
techo,Obj_baja_corr,Si,
volcán,Obj_baja_incorr,No,AUTO
gafas,Obj_alta_corr,Si,
carretera,Obj_baja_corr,Si,
muro,Obj_baja_incorr,No,BURRO
teléfono,Obj_alta_incorr,No,SILLA
serrucho,Obj_alta_corr,Si,
hacha,Obj_alta_incorr,No,SILLA
esqueleto,Obj_baja_incorr,No,ZAPATO
columna,Obj_baja_corr,Si,
regla,Obj_alta_incorr,No,CUCHARA
cerca,Obj_baja_incorr,No,MESA
cámara,Obj_alta_corr,Si,
luna,Obj_baja_corr,Si,
coche,Obj_alta_incorr,No,MANGUERA
oreja,Obj_baja_corr,Si,
fantasma,Obj_baja_incorr,No,BANDERA
escalera,Obj_alta_corr,Si,
nariz,Obj_baja_incorr,No,CHAQUETA
plancha,Obj_alta_corr,Si,
cruz,Obj_baja_corr,Si,
tijeras,Obj_alta_incorr,No,VACA
llave,Obj_alta_incorr,No,TORTA
cepillo,Obj_alta_corr,Si,
piano,Obj_alta_corr,Si,
