FixationScreen	ROJitter1	MakeChoice1	Outcome
39064	-	-	-
39431	-	-	-
39648	-	-	-
39864	-	-	-
40081	-	-	-
40298	-	-	-
40531	-	-	-
40748	-	-	-
40965	-	-	-
41181	-	-	-
41398	-	-	-
41615	-	-	-
41831	-	-	-
42048	-	-	-
42281	-	-	-
-	53933	-	-
-	-	42498	Inflated
-	59750	-	-
-	-	56100	Inflated
-	67001	-	-
-	-	65417	Inflated
-	71768	-	-
-	-	69668	Inflated
-	79052	-	-
-	-	75419	Won
42281	-	-	-
-	83336	-	-
-	-	82236	Inflated
-	96588	-	-
-	-	91987	Inflated
-	103105	-	-
-	-	101255	Inflated
-	107506	-	-
-	-	107256	Exploded
42281	-	-	-
-	115740	-	-
-	-	112223	Inflated
-	123808	-	-
-	-	119390	Inflated
-	128575	-	-
-	-	125975	Inflated
-	136526	-	-
-	-	132242	Inflated
-	140560	-	-
-	-	138693	Won
42281	-	-	-
-	150044	-	-
-	-	147744	Inflated
-	156345	-	-
-	-	153711	Inflated
-	162512	-	-
-	-	158512	Inflated
-	167329	-	-
-	-	164679	Inflated
-	171280	-	-
-	-	168996	Won
42281	-	-	-
-	182198	-	-
-	-	179448	Inflated
-	186598	-	-
-	-	184881	Inflated
-	192516	-	-
-	-	188782	Exploded
42281	-	-	-
-	199883	-	-
-	-	198216	Inflated
-	206617	-	-
-	-	204534	Inflated
-	212851	-	-
-	-	210768	Inflated
-	216602	-	-
-	-	215518	Won
42281	-	-	-
-	223536	-	-
-	-	219786	Inflated
-	232754	-	-
-	-	230203	Inflated
-	237904	-	-
-	-	234421	Exploded
42281	-	-	-
-	250706	-	-
-	-	248606	Inflated
-	257240	-	-
-	-	253390	Inflated
-	266908	-	-
-	-	263924	Inflated
-	270942	-	-
-	-	269091	Won
42281	-	-	-
-	279193	-	-
-	-	276142	Inflated
-	284710	-	-
-	-	280876	Inflated
-	289127	-	-
-	-	286877	Inflated
-	297311	-	-
-	-	295294	Inflated
-	300445	-	-
-	-	298995	Won
42281	-	-	-
-	307196	-	-
-	-	303612	Inflated
-	312163	-	-
-	-	309879	Inflated
-	318647	-	-
-	-	313847	Inflated
-	324965	-	-
-	-	322314	Inflated
-	332399	-	-
-	-	328632	Won
42281	-	-	-
-	338466	-	-
-	-	336583	Inflated
-	344167	-	-
-	-	340650	Inflated
-	350034	-	-
-	-	346834	Exploded
42281	-	-	-
-	357518	-	-
-	-	354751	Inflated
-	362902	-	-
-	-	359702	Inflated
-	368820	-	-
-	-	365086	Inflated
-	383655	-	-
-	-	373487	Exploded
42281	-	-	-
-	392256	-	-
-	-	387339	Inflated
-	399290	-	-
-	-	393939	Inflated
-	404524	-	-
-	-	401957	Inflated
-	408174	-	-
-	-	406207	Won
42281	-	-	-
-	415425	-	-
-	-	413342	Inflated
-	422393	-	-
-	-	417092	Inflated
-	430727	-	-
-	-	428060	Inflated
-	437461	-	-
-	-	435394	Inflated
-	440595	-	-
-	-	439645	Won
42281	-	-	-
-	445445	-	-
-	-	443795	Inflated
-	454163	-	-
-	-	451096	Inflated
-	461214	-	-
-	-	455847	Inflated
-	477783	-	-
-	-	465881	Won
42281	-	-	-
-	485417	-	-
-	-	481000	Inflated
-	494735	-	-
-	-	492084	Inflated
-	502886	-	-
-	-	496918	Inflated
-	513820	-	-
-	-	505569	Won
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
42281	-	-	-
